"title","artist","album","source_count","sources"
"N.I.B.","Black Sabbath","Black Sabbath (2009 Remastered Version)","1","Liked Songs"
"N.I.B. - 2009 Remaster","Black Sabbath","Black Sabbath","1","Liked Songs"
"War Pigs - 2009 Remaster","Black Sabbath","Paranoid","1","Liked Songs"
"It Ain't Me Babe","Bob Dylan","Another Side Of Bob Dylan","1","Liked Songs"
"Go Your Own Way - 2004 Remaster","Fleetwood Mac","Rumours","1","Mmmmmm"
"Isn't It Midnight - 2017 Remaster","Fleetwood Mac","Tango In the Night (Deluxe Edition)","1","SORRY SORRY SPRRYYY"
"Only over You - 2016 Remaster","Fleetwood Mac","Mirage (Deluxe Edition)","1","Ґems"
"Sara - 2015 Remaster","Fleetwood Mac","Tusk (Deluxe Edition)","1","na klar"
"Seven Wonders - 2017 Remaster","Fleetwood Mac","Tango In the Night (Deluxe Edition)","1","na klar"
"Silver Girl","Fleetwood Mac","Say You Will","1","Ґems"
"Sisters of the Moon - 2015 Remaster","Fleetwood Mac","Tusk (Deluxe Edition)","1","Ґems"
"Hey Joe","Jimi Hendrix","Are You Experienced","1","Liked Songs"
"Little Wing","Jimi Hendrix","Axis: Bold As Love","1","Liked Songs"
"All My Love - Remaster","Led Zeppelin","In Through the out Door (Remaster)","1","Liked Songs"
"Babe I'm Gonna Leave You - 1990 Remaster","Led Zeppelin","Led Zeppelin","1","%^*+"
"Black Dog - Remaster","Led Zeppelin","Led Zeppelin IV (Deluxe Edition)","1","Liked Songs"
"Black Mountain Side - Remaster","Led Zeppelin","Led Zeppelin (Remaster)","1","Liked Songs"
"Bring It on Home - Remaster","Led Zeppelin","Led Zeppelin II (Remaster)","1","Liked Songs"
"D'yer Mak'er - Remaster","Led Zeppelin","Houses of the Holy (Deluxe Edition)","1","Liked Songs"
"Dazed and Confused - Remaster","Led Zeppelin","Led Zeppelin (Remaster)","1","Liked Songs"
"Friends - Remaster","Led Zeppelin","Led Zeppelin III (Remaster)","1","Liked Songs"
"Going to California - Remaster","Led Zeppelin","Led Zeppelin IV (Deluxe Edition)","1","Liked Songs"
"Good Times Bad Times - 1993 Remaster","Led Zeppelin","Led Zeppelin","1","(:)"
"Good Times Bad Times - Remaster","Led Zeppelin","Led Zeppelin (Remaster)","1","Liked Songs"
"Hey, Hey, What Can I Do - Remaster","Led Zeppelin","Coda (Deluxe Edition)","1","Liked Songs"
"Immigrant Song - Remaster","Led Zeppelin","Led Zeppelin III (Remaster)","1","Liked Songs"
"Kashmir - Remaster","Led Zeppelin","Physical Graffiti (Remaster)","1","Liked Songs"
"No Quarter - Remaster","Led Zeppelin","Houses of the Holy (Remaster)","1","Liked Songs"
"Out on the Tiles - Remaster","Led Zeppelin","Led Zeppelin III (Remaster)","1","(:)"
"Since I've Been Loving You - Remaster","Led Zeppelin","Led Zeppelin III (Remaster)","1","Liked Songs"
"Tea for One - Remaster","Led Zeppelin","Presence (Remaster)","1","Liked Songs"
"The Lemon Song - Remaster","Led Zeppelin","Led Zeppelin II (Remaster)","1","Liked Songs"
"The Rain Song - Remaster","Led Zeppelin","Houses of the Holy (Remaster)","1","Liked Songs"
"Whole Lotta Love - Remaster","Led Zeppelin","Led Zeppelin II (Remaster)","1","Liked Songs"
"You Shook Me - 1993 Remaster","Led Zeppelin","Led Zeppelin","1","Liked Songs"
"You Shook Me - Remaster","Led Zeppelin","Led Zeppelin (Remaster)","1","Liked Songs"
"Call Me Ishmael","Madcat","The Doors of Perception","1","Chillout"
"(It's Good) To Be Free - Remastered","Oasis","Definitely Maybe (Remastered)","1","Liked Songs"
"Alive - 8 Track Demo","Oasis","Shakermaker","1","Liked Songs"
"Alive - Remastered Demo","Oasis","Definitely Maybe (Remastered)","1","Liked Songs"
"All Around the World","Oasis","Be Here Now","1","Liked Songs"
"Bonehead's Bank Holiday - Demo","Oasis","(What's The Story) Morning Glory? [Remastered]","1","Liked Songs"
"Bonehead's Bank Holiday - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","1","Liked Songs"
"Born On A Different Cloud","Oasis","Heathen Chemistry","1","Liked Songs"
"Bring It On Down - Remastered","Oasis","Definitely Maybe (Deluxe Edition Remastered)","1","Liked Songs"
"Champagne Supernova - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","1","Liked Songs"
"Champagne Supernova (Brendan Lynch Mix) - Remastered","Oasis","(What's The Story) Morning Glory? (Deluxe Remastered Edition)","1","Liked Songs"
"Cigarettes & Alcohol","Oasis","Definitely Maybe","1","Liked Songs"
"Cigarettes & Alcohol - Remastered","Oasis","Definitely Maybe (Remastered)","1","Liked Songs"
"Cloudburst - Remastered","Oasis","Definitely Maybe (Remastered)","1","Liked Songs"
"Cum On Feel the Noize - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","1","Liked Songs"
"D'Yer Wanna Be a Spaceman? - Remastered","Oasis","Definitely Maybe (Remastered)","1","Liked Songs"
"D'You Know What I Mean? - Remastered","Oasis","Be Here Now (Deluxe Remastered Edition)","1","Liked Songs"
"Digsy's Dinner - Remastered","Oasis","Definitely Maybe (Remastered)","1","Liked Songs"
"Don't Go Away","Oasis","Be Here Now","1","Liked Songs"
"Fade Away","Oasis","Help","1","Liked Songs"
"Fade Away - Remastered","Oasis","Definitely Maybe (Remastered)","1","Liked Songs"
"Falling Down","Oasis","Dig Out Your Soul","1","Liked Songs"
"Fuckin' in the Bushes","Oasis","Standing On The Shoulder Of Giants","1","Liked Songs"
"Gas Panic!","Oasis","Standing On The Shoulder Of Giants","1","Liked Songs"
"Go Let It Out","Oasis","Standing On The Shoulder Of Giants","1","Liked Songs"
"Half The World Away","Oasis","The Masterplan","1","Liked Songs"
"Half the World Away - Remastered","Oasis","Definitely Maybe (Remastered)","1","Liked Songs"
"Headshrinker - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","1","Liked Songs"
"Hey Now - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","1","Liked Songs"
"I Am the Walrus - Remastered Live Glasgow Cathouse June '94","Oasis","Definitely Maybe (Remastered)","1","Liked Songs"
"I'm Outta Time","Oasis","Dig Out Your Soul","1","Liked Songs"
"It's Better People - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","1","Liked Songs"
"Let There Be Love","Oasis","Don't Believe The Truth","1","Liked Songs"
"Lyla","Oasis","Don't Believe The Truth","1","Liked Songs"
"Magic Pie - Remastered","Oasis","Be Here Now (Remastered)","1","Liked Songs"
"Married With Children","Oasis","Definitely Maybe","1","Liked Songs"
"Married with Children - Remastered","Oasis","Definitely Maybe (Remastered)","1","Liked Songs"
"Morning Glory","Oasis","(What's The Story) Morning Glory?","1","na klar"
"Morning Glory - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","1","Liked Songs"
"My Big Mouth","Oasis","Be Here Now","1","Liked Songs"
"Rockin' Chair","Oasis","The Masterplan","1","Liked Songs"
"Roll with It - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","1","Liked Songs"
"Sad Song - Mauldeth Road West Demo, Nov' 92","Oasis","Definitely Maybe (30th Anniversary)","1","марян × talia"
"Shakermaker","Oasis","Shakermaker","1","Liked Songs"
"She's Electric - Demo","Oasis","(What's the Story) Morning Glory? [Remastered Deluxe Edition]","1","Liked Songs"
"She's Electric - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","1","Liked Songs"
"Some Might Say - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","1","Liked Songs"
