"title","artist","album","source_count","sources"
"Life Is Good (feat. Drake)","Future, Drake","Life Is Good (feat. Drake)","3","Liked Songs; Gym; Tunes"
"WAIT FOR U (feat. Drake & Tems)","Future, Drake, Tems","I NEVER LIKED YOU","3","Liked Songs; Gym; Tunes"
"Hood Gone Love It (feat. Kendrick Lamar)","Jay Rock, Kendrick Lamar","Follow Me Home","3","Liked Songs; Fashion killa; Tunes"
"Legacy","JAŸ-Z","4:44","3","Liked Songs; Kanye ye; K¥_00"
"Ni**as In Paris","JAŸ-Z, Kanye West","Watch The Throne (Deluxe)","3","Liked Songs; Gym; Tunes"
"Who Gon Stop Me","JAŸ-Z, Kanye West","Watch The Throne (Deluxe)","3","Liked Songs; Gym; Tunes"
"Wildfire (feat. Frank Ocean)","John Mayer, Frank Ocean","Paradise Valley","3","Liked Songs; Tralalelo Tralala; Na ja.."
"All Of The Lights (Interlude)","Kanye West","My Beautiful Dark Twisted Fantasy","3","Liked Songs; Kanye ye; K¥_00"
"Champion","Kanye West","Graduation","3","Kanye ye; K¥_00; Tunes"
"Coldest Winter","Kanye West","808s & Heartbreak","3","Liked Songs; Kanye ye; K¥_00"
"Hell Of A Life","Kanye West","My Beautiful Dark Twisted Fantasy","3","Liked Songs; марян × talia; Gym"
"Hurricane","Kanye West","Donda","3","Liked Songs; Kanye ye; K¥_00"
"Love Lockdown","Kanye West","808s & Heartbreak","3","Liked Songs; Kanye ye; K¥_00"
"Moon","Kanye West","Donda","3","Liked Songs; Kanye ye; K¥_00"
"New Again","Kanye West","Donda","3","Liked Songs; Kanye ye; K¥_00"
"New Slaves","Kanye West","Yeezus","3","Liked Songs; Kanye ye; K¥_00"
"Real Friends","Kanye West","The Life Of Pablo","3","Liked Songs; Kanye ye; K¥_00"
"RoboCop","Kanye West","808s & Heartbreak","3","Liked Songs; Kanye ye; K¥_00"
"Stronger","Kanye West","Graduation","3","Liked Songs; Gym"
