"title","artist","album","source_count","sources"
"Steamroller (feat. Hodgy & Frank Ocean)","Domo Genesis, Hodgy, Frank Ocean","12 Odd Future Songs","1","Tralalelo Tralala"
"PURPLE RAIN (FEAT. FUTURE & METRO BOOMIN)","Don Toliver, Future, Metro Boomin","HARDSTONE PSYCHO","1","Liked Songs"
"N 2 Deep","Drake, Future","Certified Lover Boy","1","Liked Songs"
"Way 2 Sexy (with Future & Young Thug)","Drake, Future, Young Thug","Certified Lover Boy","1","Gym"
"Beef","Ethereal, Playboi Carti","Beef","1","Liked Songs"
"Blow Me","fakemink","Wild One","1","Liked Songs"
"Blow The Speaker .","fakemink","The Boy who cried Terrified .","1","Liked Songs"
"Just Kitten","fakemink","London's Saviour","1","Liked Songs"
"Kill Everything","fakemink","London's Saviour","1","Liked Songs"
"Kiss Of Death","fakemink","Terrified .","1","Liked Songs"
"London Life","fakemink","London's Saviour","1","Liked Songs"
"Music and Me","fakemink","Music and Me","1","Liked Songs"
"Night , Blooming Jasmine .","fakemink","Night , Blooming Jasmine .","1","Liked Songs"
"Rétard Angel .","fakemink","Terrified .","1","Liked Songs"
"Snow White","fakemink","Snow White","1","Liked Songs"
"Terrified .","fakemink","Terrified .","1","Liked Songs"
"Training","fakemink","Training","1","Liked Songs"
"MAKKA","fakemink, Ecco2k, Mechatok","MAKKA","1","Liked Songs"
"Slurricane","fakemink, EsDeeKid","Slurricane","1","Liked Songs"
"Skywalker","Fimiguerrero, fakemink","Skywalker","1","Liked Songs"
"PUFFIN ON ZOOTIEZ","Future","I NEVER LIKED YOU","1","Gym"
"Too Comfortable","Future","High Off Life","1","Liked Songs"
"Like That","Future, Metro Boomin, Kendrick Lamar","WE DON'T TRUST YOU","1","Liked Songs"
"Type Shit","Future, Metro Boomin, Travis Scott, Playboi Carti","WE DON'T TRUST YOU","1","марян × talia"
"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)","Internet Money, Gunna, Don Toliver, Lil Uzi Vert","His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)","1","Gym"
"Future Retro","Jacidorex","Neoacid 04","1","Tekk"
"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock, Kendrick Lamar, Future, James Blake","Black Panther The Album Music From And Inspired By","1","Tunes"
"Who Do We Think We Are (feat. Rick Ross)","John Legend, Rick Ross","Love In The Future (Expanded Edition)","1","Liked Songs"
"All Girls Are The Same","Juice WRLD","Goodbye & Good Riddance","1","Gym"
"Armed And Dangerous","Juice WRLD","Goodbye & Good Riddance","1","Gym"
"Burn","Juice WRLD","Fighting Demons (Deluxe)","1","Gym"
"Cigarettes","Juice WRLD","Fighting Demons (Deluxe)","1","Gym"
"Fast","Juice WRLD","Death Race For Love (Bonus Track Version)","1","Gym"
"Let Me Know (I Wonder Why Freestyle)","Juice WRLD","Let Me Know (I Wonder Why Freestyle)","1","Gym"
"Lucid Dreams","Juice WRLD","Goodbye & Good Riddance","1","Gym"
"Robbery","Juice WRLD","Death Race For Love","1","Gym"
"Rockstar In His Prime","Juice WRLD","Fighting Demons","1","Gym"
"Sometimes","Juice WRLD","Fighting Demons (Deluxe)","1","Gym"
"Best Friend (with Fall Out Boy)","Juice WRLD, Fall Out Boy","The Party Never Ends 2.0","1","Liked Songs"
"Wasted (feat. Lil Uzi Vert)","Juice WRLD, Lil Uzi Vert","Goodbye & Good Riddance","1","Gym"
"Girl Of My Dreams (with SUGA of BTS)","Juice WRLD, SUGA, BTS","Fighting Demons","1","Gym"
"Reminds Me Of You","Juice WRLD, The Kid LAROI","Reminds Me Of You","1","Gym"
"Smile (with The Weeknd)","Juice WRLD, The Weeknd","Legends Never Die","1","Gym"
"Bandit (with YoungBoy Never Broke Again)","Juice WRLD, YoungBoy Never Broke Again","Bandit (with YoungBoy Never Broke Again)","1","Gym"
"i need u","Ken Carson","A Great Chaos","1","Liked Songs"
"LiveLeak","Ken Carson","More Chaos","1","Liked Songs"
"Money Spread","Ken Carson","More Chaos","1","Liked Songs"
"Yale","Ken Carson","Teen X","1","Liked Songs"
"Off The Meter (with Playboi Carti & Destroy Lonely)","Ken Carson, Playboi Carti, Destroy Lonely","More Chaos","1","Liked Songs"
"Out The Mud","Lil Baby, Future","Out The Mud","1","Gym"
